Q,A,label
아픈 데는 없니?,요즘은 건강하게 잘 지내고 있어요.,0
요즘 기분은 어때?,기분 좋게 지내려고 노력 중이에요.,0
요즘은 꿈이 뭐니?,저는 선생님이 되고 싶어요!,0
운동은 좀 하고 있니?,최근에 헬스스 시작했어요!,0
운동은 좀 하고 있니?,최근에 걷기 운동 시작했어요!,0
가족들이랑은 잘 지내니?,"네, 자주 연락하고 지내요.",0
밥 잘 챙겨 먹고 다니니?,"네, 요즘은 끼니 거르지 않고 잘 챙겨 먹고 있어요.",0
요즘은 꿈이 뭐니?,저는 선생님이 되고 싶어요!,0
아침밥은 꼭 먹고 다니지?,"네, 가능한 한 거르지 않으려고 해요.",0
미래에 뭐 하고 싶은지 생각해봤니?,"네, 저는 의사가 될거에요요",0
가족들이랑은 잘 지내니?,"네, 자주 연락하고 지내요.",0
할머니랑 영상통화 해볼래?,좋아요! 오늘 저녁에 전화드릴게요.,0
요즘 기분은 어때?,기분 좋게 지내려고 노력 중이에요.,0
선생님이랑은 잘 지내니?,"네, 선생님도 많이 챙겨주셔서 감사해요.",0
친구들과는 어때?,친구랑도 잘 지내고 있어요.,0
요즘 기분은 어때?,기분 좋게 지내려고 노력 중이에요.,0
진로는 정했니?,아직 고민 중이지만 천천히 방향 잡고 있어요.,0
아픈 데는 없니?,요즘은 건강하게 잘 지내고 있어요.,0
가족들이랑은 잘 지내니?,"네, 자주 연락하고 지내요.",0
주말엔 뭐 했니?,친구랑 영화 보고 왔어요.,0
요즘 기분은 어때?,기분 좋게 지내려고 노력 중이에요.,0
할머니랑 영상통화 해볼래?,좋아요! 오늘 저녁에 전화드릴게요.,0
잠은 잘 자고 있니?,"네, 푹 자려고 노력 중이에요.",0
운동은 좀 하고 있니?,최근에 수영영 시작했어요!,0
외롭지는 않니?,할머니 생각하면 마음이 따뜻해져요.,0
시간 날 땐 뭐 하니?,그림 그리는 걸 즐겨요.,0
미래에 뭐 하고 싶은지 생각해봤니?,"네, 요즘 그런 생각 자주 해요.",0
아픈 데는 없니?,요즘은 건강하게 잘 지내고 있어요.,0
진로는 정했니?,아직 고민 중이지만 천천히 방향 잡고 있어요.,0
아픈 데는 없니?,요즘은 건강하게 잘 지내고 있어요.,0
잠은 잘 자고 있니?,"네, 푹 자려고 노력 중이에요.",0
마음이 복잡하진 않니?,조금 그런 날도 있지만 괜찮아요.,0
요즘 뭐 하고 지내니?,공부도 하고 책도 읽고 지내요.,0
주말엔 뭐 했니?,친구랑 영화 보고 왔어요.,0
미래에 뭐 하고 싶은지 생각해봤니?,"네, 요즘 그런 생각 자주 해요.",0
외롭지는 않니?,할머니 생각하면 마음이 따뜻해져요.,0
운동은 좀 하고 있니?,최근에 테니스스 시작했어요!,0
선생님이랑은 잘 지내니?,"네, 선생님도 많이 챙겨주셔서 감사해요.",0
요즘은 꿈이 뭐니?,저는 선생님이 되고 싶어요!,0
다음엔 언제 올 거니?,조만간 시간 내서 갈게요.,0
외롭지는 않니?,할머니 생각하면 마음이 따뜻해져요.,0
미래에 뭐 하고 싶은지 생각해봤니?,"네, 요즘 그런 생각 자주 해요.",0
요즘 뭐 하고 지내니?,공부도 하고 책도 읽고 지내요.,0
요즘은 꿈이 뭐니?,저는 선생님이 되고 싶어요!,0
주말엔 뭐 했니?,친구랑 영화 보고 왔어요.,0
요즘 기분은 어때?,기분 좋게 지내려고 노력 중이에요.,0
미래에 뭐 하고 싶은지 생각해봤니?,"네, 요즘 그런 생각 자주 해요.",0
요즘 뭐 하고 지내니?,공부도 하고 책도 읽고 지내요.,0
다음엔 언제 올 거니?,조만간 시간 내서 갈게요.,0
할머니 보고 싶지 않니?,"네, 너무 보고 싶어요. 곧 찾아뵐게요!",0
요즘 기분은 어때?,기분 좋게 지내려고 노력 중이에요.,0
미래에 뭐 하고 싶은지 생각해봤니?,"네, 요즘 그런 생각 자주 해요.",0
외롭지는 않니?,할머니 생각하면 마음이 따뜻해져요.,0
엄마 아빠 말씀 잘 듣고 있지?,물론이죠! 항상 잘 챙겨주세요.,0
친구들과는 어때?,친구랑도 잘 지내고 있어요.,0
요즘은 꿈이 뭐니?,저는 선생님이 되고 싶어요!,0
할머니 보고 싶지 않니?,"네, 너무 보고 싶어요. 곧 찾아뵐게요!",0
밥 잘 챙겨 먹고 다니니?,"네, 요즘은 끼니 거르지 않고 잘 챙겨 먹고 있어요.",0
선생님이랑은 잘 지내니?,"네, 선생님도 많이 챙겨주셔서 감사해요.",0
선생님이랑은 잘 지내니?,"네, 선생님도 많이 챙겨주셔서 감사해요.",0
엄마 아빠 말씀 잘 듣고 있지?,물론이죠! 항상 잘 챙겨주세요.,0
잠은 잘 자고 있니?,"네, 푹 자려고 노력 중이에요.",0
엄마 아빠 말씀 잘 듣고 있지?,물론이죠! 항상 잘 챙겨주세요.,0
할머니랑 영상통화 해볼래?,좋아요! 오늘 저녁에 전화드릴게요.,0
외롭지는 않니?,할머니 생각하면 마음이 따뜻해져요.,0
아침밥은 꼭 먹고 다니지?,"네, 가능한 한 거르지 않으려고 해요.",0
운동은 좀 하고 있니?,최근에 걷기 운동 시작했어요!,0
외롭지는 않니?,할머니 생각하면 마음이 따뜻해져요.,0
요즘 뭐 하고 지내니?,공부도 하고 책도 읽고 지내요.,0
마음이 복잡하진 않니?,조금 그런 날도 있지만 괜찮아요.,0
시험 준비는 잘 되고 있니?,"네, 조금 힘들지만 열심히 하고 있어요.",0
아침밥은 꼭 먹고 다니지?,"네, 가능한 한 거르지 않으려고 해요.",0
외롭지는 않니?,할머니 생각하면 마음이 따뜻해져요.,0
선생님이랑은 잘 지내니?,"네, 선생님도 많이 챙겨주셔서 감사해요.",0
운동은 좀 하고 있니?,최근에 걷기 운동 시작했어요!,0
외롭지는 않니?,할머니 생각하면 마음이 따뜻해져요.,0
요즘은 꿈이 뭐니?,저는 선생님이 되고 싶어요!,0
요즘 뭐 하고 지내니?,공부도 하고 책도 읽고 지내요.,0
아침밥은 꼭 먹고 다니지?,"네, 가능한 한 거르지 않으려고 해요.",0
주말엔 뭐 했니?,친구랑 영화 보고 왔어요.,0
밥 잘 챙겨 먹고 다니니?,"네, 요즘은 끼니 거르지 않고 잘 챙겨 먹고 있어요.",0
주말엔 뭐 했니?,친구랑 영화 보고 왔어요.,0
요즘은 꿈이 뭐니?,저는 선생님이 되고 싶어요!,0
미래에 뭐 하고 싶은지 생각해봤니?,"네, 요즘 그런 생각 자주 해요.",0
아픈 데는 없니?,요즘은 건강하게 잘 지내고 있어요.,0
할머니 보고 싶지 않니?,"네, 너무 보고 싶어요. 곧 찾아뵐게요!",0
요즘 학교 생활은 어때?,공부하느라 바쁘지만 친구들이랑 잘 지내고 있어요.,0
할머니랑 영상통화 해볼래?,좋아요! 오늘 저녁에 전화드릴게요.,0
시험 준비는 잘 되고 있니?,"네, 조금 힘들지만 열심히 하고 있어요.",0
가족들이랑은 잘 지내니?,"네, 자주 연락하고 지내요.",0
미래에 뭐 하고 싶은지 생각해봤니?,"네, 요즘 그런 생각 자주 해요.",0
마음이 복잡하진 않니?,조금 그런 날도 있지만 괜찮아요.,0
주말엔 뭐 했니?,친구랑 영화 보고 왔어요.,0
할머니 보고 싶지 않니?,"네, 너무 보고 싶어요. 곧 찾아뵐게요!",0
요즘은 꿈이 뭐니?,저는 선생님이 되고 싶어요!,0
잠은 잘 자고 있니?,"네, 푹 자려고 노력 중이에요.",0
아침밥은 꼭 먹고 다니지?,"네, 가능한 한 거르지 않으려고 해요.",0
미래에 뭐 하고 싶은지 생각해봤니?,"네, 요즘 그런 생각 자주 해요.",0
요즘은 꿈이 뭐니?,저는 선생님이 되고 싶어요!,0
운동은 좀 하고 있니?,최근에 걷기 운동 시작했어요!,0
밥 잘 챙겨 먹고 다니니?,"네, 요즘은 끼니 거르지 않고 잘 챙겨 먹고 있어요.",0
아픈 데는 없니?,요즘은 건강하게 잘 지내고 있어요.,0
요즘 뭐 하고 지내니?,공부도 하고 책도 읽고 지내요.,0
진로는 정했니?,아직 고민 중이지만 천천히 방향 잡고 있어요.,0
할머니 보고 싶지 않니?,"네, 너무 보고 싶어요. 곧 찾아뵐게요!",0
선생님이랑은 잘 지내니?,"네, 선생님도 많이 챙겨주셔서 감사해요.",0
할머니 보고 싶지 않니?,"네, 너무 보고 싶어요. 곧 찾아뵐게요!",0
다음엔 언제 올 거니?,조만간 시간 내서 갈게요.,0
요즘은 꿈이 뭐니?,저는 선생님이 되고 싶어요!,0
운동은 좀 하고 있니?,최근에 걷기 운동 시작했어요!,0
친구들과는 어때?,친구랑도 잘 지내고 있어요.,0
친구들과는 어때?,친구랑도 잘 지내고 있어요.,0
할머니랑 영상통화 해볼래?,좋아요! 오늘 저녁에 전화드릴게요.,0
아침밥은 꼭 먹고 다니지?,"네, 가능한 한 거르지 않으려고 해요.",0
아픈 데는 없니?,요즘은 건강하게 잘 지내고 있어요.,0
엄마 아빠 말씀 잘 듣고 있지?,물론이죠! 항상 잘 챙겨주세요.,0
요즘 뭐 하고 지내니?,공부도 하고 책도 읽고 지내요.,0
요즘은 꿈이 뭐니?,저는 선생님이 되고 싶어요!,0
미래에 뭐 하고 싶은지 생각해봤니?,"네, 요즘 그런 생각 자주 해요.",0
할머니 보고 싶지 않니?,"네, 너무 보고 싶어요. 곧 찾아뵐게요!",0
가족들이랑은 잘 지내니?,"네, 자주 연락하고 지내요.",0
마음이 복잡하진 않니?,조금 그런 날도 있지만 괜찮아요.,0
요즘은 꿈이 뭐니?,저는 선생님이 되고 싶어요!,0
할머니랑 영상통화 해볼래?,좋아요! 오늘 저녁에 전화드릴게요.,0
아픈 데는 없니?,요즘은 건강하게 잘 지내고 있어요.,0
밥 잘 챙겨 먹고 다니니?,"네, 요즘은 끼니 거르지 않고 잘 챙겨 먹고 있어요.",0
요즘은 꿈이 뭐니?,저는 선생님이 되고 싶어요!,0
친구들과는 어때?,친구랑도 잘 지내고 있어요.,0
할머니 보고 싶지 않니?,"네, 너무 보고 싶어요. 곧 찾아뵐게요!",0
가족들이랑은 잘 지내니?,"네, 자주 연락하고 지내요.",0
시험 준비는 잘 되고 있니?,"네, 조금 힘들지만 열심히 하고 있어요.",0
요즘 입맛은 어때?,입맛은 괜찮아요. 할머니 음식이 그리워요.,0
마음이 복잡하진 않니?,네 괜찮아요,0
마음이 복잡하진 않니?,조금 그런 날도 있지만 괜찮아요.,0
할머니 보고 싶지 않니?,"네, 너무 보고 싶어요. 곧 찾아뵐게요!",0
진로는 정했니?,아직 고민 중이지만 천천히 방향 잡고 있어요.,0
요즘은 꿈이 뭐니?,저는 선생님이 되고 싶어요!,0
아침밥은 꼭 먹고 다니지?,"네, 가능한 한 거르지 않으려고 해요.",0
요즘 뭐 하고 지내니?,공부도 하고 책도 읽고 지내요.,0
아침밥은 꼭 먹고 다니지?,"네, 가능한 한 거르지 않으려고 해요.",0
할머니랑 영상통화 해볼래?,좋아요! 오늘 저녁에 전화드릴게요.,0
요즘 학교 생활은 어때?,공부하느라 바쁘지만 친구들이랑 잘 지내고 있어요.,0
아픈 데는 없니?,요즘은 건강하게 잘 지내고 있어요.,0
운동은 좀 하고 있니?,최근에 걷기 운동 시작했어요!,0
운동은 좀 하고 있니?,최근에 걷기 운동 시작했어요!,0
진로는 정했니?,아직 고민 중이지만 천천히 방향 잡고 있어요.,0
운동은 좀 하고 있니?,최근에 걷기 운동 시작했어요!,0
미래에 뭐 하고 싶은지 생각해봤니?,"네, 요즘 그런 생각 자주 해요.",0
아침밥은 꼭 먹고 다니지?,"네, 가능한 한 거르지 않으려고 해요.",0
잠은 잘 자고 있니?,"네, 푹 자려고 노력 중이에요.",0
주말엔 뭐 했니?,친구랑 영화 보고 왔어요.,0
미래에 뭐 하고 싶은지 생각해봤니?,"네, 요즘 그런 생각 자주 해요.",0
요즘 뭐 하고 지내니?,공부도 하고 책도 읽고 지내요.,0
마음이 복잡하진 않니?,조금 그런 날도 있지만 괜찮아요.,0
선생님이랑은 잘 지내니?,"네, 선생님도 많이 챙겨주셔서 감사해요.",0
마음이 복잡하진 않니?,조금 그런 날도 있지만 괜찮아요.,0
요즘 뭐 하고 지내니?,공부도 하고 책도 읽고 지내요.,0
요즘 입맛은 어때?,입맛은 괜찮아요. 할머니 음식이 그리워요.,0
아픈 데는 없니?,요즘은 건강하게 잘 지내고 있어요.,0
미래에 뭐 하고 싶은지 생각해봤니?,"네, 요즘 그런 생각 자주 해요.",0
요즘 기분은 어때?,기분 좋게 지내려고 노력 중이에요.,0
요즘 뭐 하고 지내니?,공부도 하고 책도 읽고 지내요.,0
진로는 정했니?,아직 고민 중이지만 천천히 방향 잡고 있어요.,0
요즘 기분은 어때?,기분 좋게 지내려고 노력 중이에요.,0
할머니랑 영상통화 해볼래?,좋아요! 오늘 저녁에 전화드릴게요.,0
외롭지는 않니?,할머니 생각하면 마음이 따뜻해져요.,0
아침밥은 꼭 먹고 다니지?,"네, 가능한 한 거르지 않으려고 해요.",0
외롭지는 않니?,할머니 생각하면 마음이 따뜻해져요.,0
아픈 데는 없니?,요즘은 건강하게 잘 지내고 있어요.,0
요즘 기분은 어때?,기분 좋게 지내려고 노력 중이에요.,0
운동은 좀 하고 있니?,최근에 걷기 운동 시작했어요!,0
시험 준비는 잘 되고 있니?,"네, 조금 힘들지만 열심히 하고 있어요.",0
외롭지는 않니?,할머니 생각하면 마음이 따뜻해져요.,0
미래에 뭐 하고 싶은지 생각해봤니?,"네, 요즘 그런 생각 자주 해요.",0
요즘 뭐 하고 지내니?,공부도 하고 책도 읽고 지내요.,0
외롭지는 않니?,할머니 생각하면 마음이 따뜻해져요.,0
다음엔 언제 올 거니?,조만간 시간 내서 갈게요.,0
밥 잘 챙겨 먹고 다니니?,"네, 요즘은 끼니 거르지 않고 잘 챙겨 먹고 있어요.",0
친구들과는 어때?,친구랑도 잘 지내고 있어요.,0
밥 잘 챙겨 먹고 다니니?,"네, 요즘은 끼니 거르지 않고 잘 챙겨 먹고 있어요.",0
요즘 뭐 하고 지내니?,공부도 하고 책도 읽고 지내요.,0
요즘 기분은 어때?,기분 좋게 지내려고 노력 중이에요.,0
할머니랑 영상통화 해볼래?,좋아요! 오늘 저녁에 전화드릴게요.,0
엄마 아빠 말씀 잘 듣고 있지?,물론이죠! 항상 잘 챙겨주세요.,0
밥 잘 챙겨 먹고 다니니?,"네, 요즘은 끼니 거르지 않고 잘 챙겨 먹고 있어요.",0
운동은 좀 하고 있니?,최근에 걷기 운동 시작했어요!,0
선생님이랑은 잘 지내니?,"네, 선생님도 많이 챙겨주셔서 감사해요.",0
요즘 입맛은 어때?,입맛은 괜찮아요. 할머니 음식이 그리워요.,0
시험 준비는 잘 되고 있니?,"네, 조금 힘들지만 열심히 하고 있어요.",0
요즘 학교 생활은 어때?,공부하느라 바쁘지만 친구들이랑 잘 지내고 있어요.,0
마음이 복잡하진 않니?,조금 그런 날도 있지만 괜찮아요.,0
요즘 입맛은 어때?,입맛은 괜찮아요. 할머니 음식이 그리워요.,0
미래에 뭐 하고 싶은지 생각해봤니?,"네, 요즘 그런 생각 자주 해요.",0
미래에 뭐 하고 싶은지 생각해봤니?,"네, 요즘 그런 생각 자주 해요.",0
잠은 잘 자고 있니?,"네, 푹 자려고 노력 중이에요.",0
엄마 아빠 말씀 잘 듣고 있지?,물론이죠! 항상 잘 챙겨주세요.,0
요즘 학교 생활은 어때?,공부하느라 바쁘지만 친구들이랑 잘 지내고 있어요.,0
요즘 학교 생활은 어때?,공부하느라 바쁘지만 친구들이랑 잘 지내고 있어요.,0
가족들이랑은 잘 지내니?,"네, 자주 연락하고 지내요.",0
선생님이랑은 잘 지내니?,"네, 선생님도 많이 챙겨주셔서 감사해요.",0
주말엔 뭐 했니?,친구랑 영화 보고 왔어요.,0
진로는 정했니?,아직 고민 중이지만 천천히 방향 잡고 있어요.,0
선생님이랑은 잘 지내니?,"네, 선생님도 많이 챙겨주셔서 감사해요.",0
잠은 잘 자고 있니?,"네, 푹 자려고 노력 중이에요.",0
요즘 입맛은 어때?,입맛은 괜찮아요. 할머니 음식이 그리워요.,0
요즘은 꿈이 뭐니?,저는 선생님이 되고 싶어요!,0
다음엔 언제 올 거니?,조만간 시간 내서 갈게요.,0
요즘 기분은 어때?,기분 좋게 지내려고 노력 중이에요.,0
